Course,University,Location,Subject,Link
Master of Science in Computer Engineering,Paderborn University,Paderborn,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5625/
Computer Simulation in Science (MSc),University of Wuppertal,Wuppertal,"Mathematics, Natural Sciences in general",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3690/
Computer Engineering for IoT Systems,Nordhausen University of Applied Sciences,Nordhausen,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9012/
Computational Materials Science (CMS),TU Bergakademie Freiberg,Freiberg,Mechanical Engineering / Process Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4288/
Computational Science and Engineering (CSE),Technical University of Munich,Garching b. München,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3591/
Computational Sciences in Engineering (CSE),Technische Universität Braunschweig,Braunschweig,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3685/
Embedded Computing Systems (ESY),RPTU University of Kaiserslautern-Landau,Kaiserslautern,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3590/
Computational Science and Engineering (CSE),University of Rostock,Rostock,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4593/
Electrical and Computer Engineering (M Eng),Anhalt University of Applied Sciences,Köthen / Anhalt,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8357/
Scientific Computing (Elite Network of Bavaria),University of Bayreuth,Bayreuth,Mathematics,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5244/
"Computational Engineering (CE), MSc",FAU Erlangen-Nürnberg,Erlangen,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3727/
Computational Methods in Engineering (CoME),Otto von Guericke University Magdeburg,Magdeburg,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9061/
Computational Modelling and Simulation,Dresden University of Technology,Dresden,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5202/
"Control, Computer and Communications Engineering (CCCE)",Technische Hochschule Mittelhessen University of Applied Sciences,Friedberg (Hessen),Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3815/
