Course,University,Location,Subject
Master of Science in Computer Engineering,Paderborn University,Paderborn,Electrical Engineering
Computer Simulation in Science (MSc),University of Wuppertal,Wuppertal,"Mathematics, Natural Sciences in general"
Computer Engineering for IoT Systems,Nordhausen University of Applied Sciences,Nordhausen,Computer Science
Computational Materials Science (CMS),TU Bergakademie Freiberg,Freiberg,Mechanical Engineering / Process Engineering
Computational Science and Engineering (CSE),Technical University of Munich,Garching b. München,Computer Science
Computational Sciences in Engineering (CSE),Technische Universität Braunschweig,Braunschweig,Engineering in general
Embedded Computing Systems (ESY),RPTU University of Kaiserslautern-Landau,Kaiserslautern,Electrical Engineering
Computational Science and Engineering (CSE),University of Rostock,Rostock,Engineering in general
Electrical and Computer Engineering (M Eng),Anhalt University of Applied Sciences,Köthen / Anhalt,Electrical Engineering
Scientific Computing (Elite Network of Bavaria),University of Bayreuth,Bayreuth,Mathematics
"Computational Engineering (CE), MSc",FAU Erlangen-Nürnberg,Erlangen,Computer Science
Computational Methods in Engineering (CoME),Otto von Guericke University Magdeburg,Magdeburg,Engineering in general
Computational Modelling and Simulation,Dresden University of Technology,Dresden,Computer Science
"Control, Computer and Communications Engineering (CCCE)",Technische Hochschule Mittelhessen University of Applied Sciences,Friedberg (Hessen),Electrical Engineering
Quantum Technologies in Electrical and Computer Engineering (QTEC),Technische Universität Braunschweig,Braunschweig,Electrical Engineering
Computer Engineering – Master's Study Programme,RWTH Aachen University,Aachen,Engineering in general
Applied Research in Computer Science (MSc),Hof University of Applied Sciences,Hof,Computer Science
Master of Science in Data Science,Trier University,Trier,"Mathematics, Natural Sciences in general"
Advanced Computational Methods in Civil Engineering,RWTH Aachen University,Aachen,Civil Engineering
International Master's Programme in Advanced Computational and Civil Engineering Structural Studies (ACCESS),Dresden University of Technology,Dresden,Civil Engineering
Computational Mechanics,Technical University of Munich,München,Engineering in general
Master of Science in Photonics,Hochschule München University of Applied Sciences,München,"Physics, Astronomy"
Data Science,University of Potsdam,Potsdam,Computer Science
Quantum Science,University of Siegen,Siegen,"Mathematics, Natural Sciences in general"
Communication Systems and Networks (Master of Science),Technische Hochschule Köln (University of Applied Sciences),Köln,Electrical Engineering
Computational Engineering (CompEng),Ruhr-Universität Bochum,Bochum,Engineering in general
Digital Engineering (DigiEng),Otto von Guericke University Magdeburg,Magdeburg,Computer Science
Internet of Things (IoT) and Smart Systems,Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau,Zwickau,Computer Science
Materials Science and Simulation,Ruhr-Universität Bochum,Bochum,Mechanical Engineering / Process Engineering
Information Technology (IT),Frankfurt University of Applied Sciences,Frankfurt am Main,Electrical Engineering
Renewable Energy Master of Engineering (MEng),Frankfurt University of Applied Sciences,Frankfurt am Main,Electrical Engineering
Elite Master of Science in Neuroengineering (MSNE),Technical University of Munich,München,Engineering in general
Technology and Innovation Management,Harz University of Applied Sciences,Wernigerode,Engineering in general
Master's in Micro- and Nanotechnology,Hochschule München University of Applied Sciences,München,"Mathematics, Natural Sciences in general"
"Master of Science in Geodesy and Geoinformatics, Specialisation Hydrography",HafenCity University Hamburg,Hamburg,Surveying
Digital Engineering,Bauhaus-Universität Weimar,Weimar,Engineering in general
Information and Communication Technology MSc,FAU Erlangen-Nürnberg,Erlangen,Electrical Engineering
Information and Communication Systems,Hamburg University of Technology,Hamburg,Electrical Engineering
Autonomous Driving,Coburg University of Applied Sciences and Arts,Kronach,Engineering in general
Master's in Embedded Systems Engineering (ESE),Dortmund University of Applied Sciences and Arts,Dortmund,Computer Science
Master Materials Science and Engineering (MSc),FH Münster University of Applied Sciences,Steinfurt,Engineering in general
Master of Science in Materials Science,Technical University of Darmstadt,Darmstadt,"Physics, Astronomy"
Master of Science in Materials Science,Paderborn University,Paderborn,"Mathematics, Natural Sciences in general"
Master of Science in Mechatronics,FH Aachen University of Applied Sciences,Aachen,Mechanical Engineering / Process Engineering
Master of Science in Process Engineering,Hamburg University of Applied Sciences,Hamburg,Mechanical Engineering / Process Engineering
Master of Science in Scientific Instrumentation,University of Applied Sciences Jena,Jena,"Physics, Astronomy"
MSc Photovoltaics Engineering Science,Anhalt University of Applied Sciences,Köthen / Anhalt,Electrical Engineering
Master of Science in Applied Statistics,Trier University,Trier,"Law, Economics and Social Sciences in general"
Master of Science in Water Science,University of Duisburg-Essen,Essen,Chemistry
Master of Science in Wood Technology,Rosenheim Technical University of Applied Sciences,Rosenheim,"Forestry, Wood Economics"
Master of Science in Aerospace Engineering (MSc),FH Aachen University of Applied Sciences,Aachen,Mechanical Engineering / Process Engineering
Master of Science in International Automotive Engineering,FH Aachen University of Applied Sciences,Aachen,"Transport Engineering, Nautical Science"
Master of Science in Nuclear Applications (MNA),FH Aachen University of Applied Sciences,Jülich,Engineering in general
Information Technology,OWL University of Applied Sciences and Arts,Lemgo,Computer Science
Master's in Industrial Informatics,University of Applied Sciences Emden/Leer,Emden,Computer Science
MSc Advanced (Systems) Engineering & Engineering Management,South Westphalia University of Applied Sciences,Soest,Electrical Engineering
Automation & IT (Master of Engineering),Technische Hochschule Köln (University of Applied Sciences),Köln,Engineering in general
Master of Science in Materials Science and Engineering,Kiel University,Kiel,"Mathematics, Natural Sciences in general"
Master of Science in Polymer Materials Science,Martin Luther University Halle-Wittenberg,Halle (Saale),"Mathematics, Natural Sciences in general"
MSc Advanced Materials and Processes (MAP),FAU Erlangen-Nürnberg,Erlangen,Engineering in general
Renewable Energy Management (Master of Science),Technische Hochschule Köln (University of Applied Sciences),Köln,Engineering in general
Electrical Engineering and Information Technology — International Master of Science,Darmstadt University of Applied Sciences,Darmstadt,Electrical Engineering
Integrated Water Resources Management (Master of Science),Technische Hochschule Köln (University of Applied Sciences),Köln,Civil Engineering
Natural Resources Management and Development (Master of Science),Technische Hochschule Köln (University of Applied Sciences),Köln,"Land Management, Environmental Architecture"
Master's Mathematics in Science and Engineering,Technical University of Munich,Garching b. München,"Mathematics, Natural Sciences in general"
Master of Science in Aerospace Engineering,Technical University of Darmstadt,Darmstadt,"Transport Engineering, Nautical Science"
Master of Science in Photonics,Friedrich Schiller University Jena,Jena,"Physics, Astronomy"
